State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.833905986118773	0.062481133027706144	0.00949938778335336	0.0028316757341256393	0.08366286497141535	0.005743382295198348	0.0015983978046510035	5.8053205211823915E-5	2.191190595653136E-4	0.0
2	0.060902265063222036	0.7776239403783618	0.04990739885808198	0.04138830833096094	0.0	2.0580269692137385E-4	0.0010891571672200838	0.0038287428201175277	0.03502596535399329	0.030028419331120944
3	0.007373808191089207	0.043289690425573006	0.7192841856736378	0.21630633593039225	0.003854352649767756	0.0	0.0012622392340061214	6.740042938297341E-4	0.00795538360170387	0.0
4	5.490861041790486E-4	0.010264513320676736	0.06404221447182062	0.7285144412947302	0.004126008872037661	6.857746303236214E-5	0.018600915529601372	0.0026926363750110656	0.1698678007307048	0.0012738058382061191
5	0.058863775292627825	0.0	0.003923033344088289	0.011713398656052133	0.772264371907249	0.13831651226878644	0.01488978044148979	2.9128089706576216E-5	0.0	0.0
6	0.0012595531241564643	0.0	0.0	1.4079245862982867E-8	0.047232722054740536	0.9224448604598484	0.02833511159754681	7.232939942850434E-4	0.0	4.444690176780594E-6
7	1.8720666343367704E-4	1.4384980512465462E-4	1.5472687755406232E-4	0.008614196265172496	0.002252541899993092	0.012509030875531658	0.9685726312554008	0.002028791321622249	0.0055370250361673114	0.0
8	0.0	9.191035168943705E-4	1.3525862283932262E-4	0.0022847481394545734	2.7787994640266373E-5	4.93164383351903E-4	0.0037975820145582473	0.8899269403629426	0.10055365480596815	0.0018617601593507354
9	4.011964719202821E-6	3.8369169605151094E-4	1.2353363388309618E-4	0.007665667025825868	0.0	0.0	5.393018182302911E-4	0.005143188931943731	0.9820359766503433	0.004104628279002817
10	0.0	0.0026843170898400437	0.0	4.968348390552539E-4	0.0	0.0	0.0	7.461304895289515E-4	0.03211191548746327	0.9639608020941125
